City,Latitude,Lng,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Awjilah,29.1081,21.2869,80.38,13,0,13.53,LY,1619742935
Ayr,55.4627,-4.6339,39.2,81,20,3.44,GB,1619742936
Baillif,16.0202,-61.7463,75.2,88,75,4.61,GP,1619742936
Bairiki Village,1.3292,172.9752,87.8,70,75,14.97,KI,1619742699
Balkhash,46.844,74.9804,60.42,75,89,18.16,KZ,1619742700
Bambanglipuro,-7.95,110.2833,80.28,76,55,1.97,ID,1619742937
Bambous Virieux,-20.3428,57.7575,77.0,83,75,12.66,MU,1619742937
Banda Aceh,5.5577,95.3222,81.3,76,100,1.95,ID,1619742701
Bandarbeyla,9.4942,50.8122,82.33,77,95,4.38,SO,1619742701
Bandi̇̄pur,27.9333,84.4167,71.02,20,100,2.01,NP,1619742702
Baoqing,46.3317,132.2111,56.75,35,100,7.43,CN,1619742702
Barcarena,-1.5058,-48.6258,75.2,94,75,4.61,BR,1619742938
Barcelos,41.5388,-8.6151,51.01,93,0,3.94,PT,1619742939
Al Bardīyah,31.7561,25.0865,75.87,32,32,10.45,LY,1619742939
Bārmer,25.75,71.3833,77.23,48,9,6.6,IN,1619742941
Barrow,71.2906,-156.7887,21.2,79,90,8.05,US,1619742637
Baruun-Urt,46.6806,113.2792,38.41,36,58,11.54,MN,1619742941
Bedong,5.7274,100.5088,80.01,88,20,4.61,MY,1619742942
Beihai,21.4833,109.1,76.35,66,16,4.07,CN,1619742942
Béjar,40.3864,-5.7634,44.6,81,0,6.91,ES,1619742942
Belmonte,-15.8631,-38.8828,75.2,88,75,2.3,BR,1619742943
Bengkulu,-3.8004,102.2655,75.43,91,100,4.63,ID,1619742789
Benjamín Aceval,-24.9667,-57.5667,62.6,72,0,4.61,PY,1619742944
Berdigestyakh,62.0989,126.6992,34.47,83,96,4.47,RU,1619742944
Beringovskiy,63.05,179.3167,29.59,74,52,5.39,RU,1619742708
Berlevåg,70.8578,29.0864,29.55,73,100,28.01,NO,1619742945
Bestöbe,52.4994,73.0975,44.02,58,17,7.23,KZ,1619742945
Bethel,41.3712,-73.414,68.0,77,90,9.22,US,1619742709
Biak,-0.9131,122.8766,82.36,66,62,2.68,ID,1619742946
Bijie,27.3125,105.2942,64.26,62,60,4.97,CN,1619742946
Bilma,18.6853,12.9164,84.87,7,0,9.8,NE,1619742947
Bluff,-46.6,168.3333,55.0,75,28,15.99,NZ,1619742854
Bontang,0.1333,117.5,79.99,85,100,0.72,ID,1619742947
Bonthe,7.5264,-12.505,81.28,79,51,5.68,SL,1619742712
Bousso,10.4795,16.7117,83.12,46,89,3.69,TD,1619742948
Boyolangu,-8.1181,111.8935,79.79,81,60,3.62,ID,1619742948
Brae,60.3964,-1.353,37.4,87,53,9.22,GB,1619742949
Bredasdorp,-34.5322,20.0403,46.4,87,0,1.14,ZA,1619742952
Broken Hill,-31.95,141.4333,71.6,28,0,9.22,AU,1619742952
Broome,42.2506,-75.833,57.99,94,90,11.5,US,1619742953
Brownsville,25.9018,-97.4975,82.4,69,90,10.36,US,1619742724
Bubaque,11.2833,-15.8333,77.9,70,56,16.53,GW,1619742953
Buchanan,5.8808,-10.0467,78.8,94,75,5.28,LR,1619742954
Burley,42.5357,-113.7928,77.0,16,1,5.75,US,1619742716
Busselton,-33.65,115.3333,51.01,99,22,8.37,AU,1619742787
Butaritari,3.0707,172.7902,84.09,72,100,13.78,KI,1619742955
Cabo San Lucas,22.8909,-109.9124,78.01,36,1,13.8,MX,1619742731
Cairns,-16.9167,145.7667,82.0,65,10,11.5,AU,1619742956
Calvinia,-31.4707,19.776,47.03,80,0,5.32,ZA,1619742735
Campbell River,50.0163,-125.2446,55.99,76,90,6.91,CA,1619742956
Cape Town,-33.9258,18.4232,60.01,82,20,8.05,ZA,1619742957
Caravelas,-17.7125,-39.2481,76.86,69,94,11.1,BR,1619742957
Karligan,14.975,122.0456,82.26,62,63,4.41,PH,1619742957
Carnarvon,-24.8667,113.6333,71.6,83,93,12.66,AU,1619742837
Carnot,4.9409,15.8665,69.42,96,95,2.15,CF,1619742671
Carolina,18.3808,-65.9574,78.8,69,40,8.05,PR,1619742958
Cartagena del Chairá,1.3349,-74.8429,71.67,98,93,1.99,CO,1619742750
Carutapera,-1.195,-46.02,75.27,93,100,4.99,BR,1619742721
Castro,-24.7911,-50.0119,50.59,96,1,4.99,BR,1619742721
Cayenne,4.9333,-52.3333,77.0,94,0,3.56,GF,1619742959
Chake Chake,-5.2459,39.7666,75.92,92,100,8.66,TZ,1619742960
Chala,-7.5833,31.2667,56.61,96,100,3.42,TZ,1619742960
Challakere,14.3167,76.65,79.45,61,10,6.44,IN,1619742682
Champerico,14.3,-91.9167,89.6,55,40,6.91,GT,1619742961
Changde,29.0464,111.6783,74.75,65,0,12.35,CN,1619742961
Chapadinha,-3.7417,-43.3603,73.04,98,100,4.74,BR,1619742962
Chapais,49.7834,-74.8492,55.4,38,1,6.91,CA,1619742962
Cheremushskiy,61.2731,47.2636,29.61,84,100,6.58,RU,1619742963
Chimoio,-19.1164,33.4833,69.8,94,40,1.54,MZ,1619742725
Chimoré,-16.9833,-65.1333,66.96,85,0,1.66,BO,1619742963
Chiredzi,-21.05,31.6667,63.46,79,0,2.35,ZW,1619742964
Chokurdakh,70.6333,147.9167,17.04,87,12,4.45,RU,1619742605
Chui,-33.6971,-53.4616,56.44,78,0,3.33,UY,1619742621
Ciamis,-7.3257,108.3534,78.51,79,100,1.7,ID,1619742727
Ciudad Ojeda,10.1964,-71.3082,76.46,85,100,5.97,VE,1619742727
Clarence Town,-32.5833,151.7833,72.0,77,20,4.61,AU,1619742965
Charter Township of Clinton,42.587,-82.9199,50.0,100,90,10.36,US,1619742728
Clyde River,70.4692,-68.5914,24.8,100,90,12.66,CA,1619742966
Coahuayana Viejo,18.7333,-103.6833,80.6,57,90,11.5,MX,1619742729
Cockburn Town,21.4612,-71.1419,78.8,73,40,16.11,TC,1619742851
Codrington,-38.2667,141.9667,69.17,44,0,10.6,AU,1619742730
Coyhaique,-45.5752,-72.0662,59.0,58,40,9.22,CL,1619742967
Colares,38.7992,-9.4469,55.99,73,98,10.69,PT,1619742967
College,64.8569,-147.8028,50.0,50,75,3.44,US,1619742968
Comarapa,-17.9,-64.4833,50.77,94,63,1.54,BO,1619742731
Comodoro Rivadavia,-45.8667,-67.5,66.2,45,0,9.22,AR,1619742968
Constitución,-35.3333,-72.4167,54.99,87,18,1.7,CL,1619742969
Coquimbo,-29.9533,-71.3436,55.4,88,0,6.91,CL,1619742824
Çubuk,40.2386,33.0322,64.0,71,0,1.14,TR,1619742969
Dămieneşti,46.7333,26.9833,48.2,93,12,10.36,RO,1619742970
Dargaville,-35.9333,173.8833,64.71,70,69,7.74,NZ,1619742970
Darhan,49.4867,105.9228,39.36,61,85,4.23,MN,1619742971
De Aar,-30.6497,24.0123,52.05,83,76,16.11,ZA,1619742971
Deder,9.3167,41.45,57.02,91,97,3.6,ET,1619742972
Demirci,39.0461,28.6589,57.34,53,25,3.85,TR,1619742972
Den Helder,52.9599,4.7593,46.0,93,75,4.61,NL,1619742711
Derzhavīnsk,51.1,66.3167,44.04,61,29,6.17,KZ,1619742736
Dibulla,11.2725,-73.3091,76.93,86,98,2.04,CO,1619742737
Diffa,13.3154,12.6113,84.36,7,0,7.9,NE,1619742973
Dikson,73.5069,80.5464,3.72,95,71,7.23,RU,1619742794
Dingle,10.9995,122.6711,85.24,46,9,5.41,PH,1619742833
Djibo,14.1022,-1.6306,92.48,18,60,8.68,BF,1619742738
Dodola,6.9833,39.1833,51.4,90,100,1.74,ET,1619742974
Dolinsk,47.35,142.8,37.4,81,40,22.37,RU,1619742974
Dracena,-21.4843,-51.535,63.19,45,9,9.13,BR,1619742739
Dudinka,69.4058,86.1778,30.18,93,100,5.97,RU,1619742859
Dunedin,-45.8742,170.5036,53.01,88,100,18.99,NZ,1619742731
East London,-33.0153,27.9116,63.73,81,100,12.12,ZA,1619742975
Erenhot,43.6475,111.9767,45.45,13,71,11.9,CN,1619742976
Esperance,-33.8667,121.9,57.2,94,90,14.97,AU,1619742976
Eureka,40.8021,-124.1637,60.01,65,100,3.0,US,1619742893
Evensk,61.95,159.2333,33.53,92,13,1.05,RU,1619742977
Eydhafushi,5.1033,73.0708,83.34,68,8,5.41,MV,1619742977
Faanui,-16.4833,-151.75,81.82,72,100,7.4,PF,1619742978
Fairbanks,64.8378,-147.7164,50.0,46,90,6.91,US,1619742822
Falun,60.6036,15.626,27.0,93,5,3.38,SE,1619742978
Faya,18.3851,42.4509,60.8,77,40,6.71,SA,1619742744
Ferme-Neuve,46.7001,-75.4493,59.0,55,100,2.3,CA,1619742979
Philadelphia,39.9523,-75.1638,70.0,94,90,10.36,US,1619742894
Firminy,45.3873,4.2907,46.4,93,90,2.01,FR,1619742980
Flin Flon,54.7682,-101.865,42.8,24,1,18.41,CA,1619742980
Florence,43.7667,11.25,61.0,88,40,4.61,IT,1619742981
Fort Morgan,40.2503,-103.8,66.2,32,1,5.26,US,1619742981
Fortuna,40.5982,-124.1573,64.99,51,1,14.97,US,1619742872
Freeport,40.6576,-73.5832,64.99,77,90,9.22,US,1619742897
Fukuechō,32.6881,128.8419,68.0,68,75,17.27,JP,1619742747
Kiryat Gat,31.61,34.7642,64.4,77,0,3.44,IL,1619742747
Gelibolu,40.4103,26.6708,53.6,94,0,3.44,TR,1619742748
George Town,5.4112,100.3354,80.6,88,20,4.61,MY,1619742615
Geraldton,-28.7667,114.6,64.4,77,75,12.66,AU,1619742930
Gerāsh,27.6652,54.1371,75.2,38,75,2.21,IR,1619742749
Gilbués,-9.8317,-45.3439,78.15,56,51,3.29,BR,1619742984
Gizo Government Station,-8.103,156.8419,83.26,72,79,4.85,SB,1619742749
Gornopravdinsk,60.05,69.9,38.23,90,21,7.34,RU,1619742985
Goundam,16.4145,-3.6708,90.79,22,18,1.99,ML,1619742985
Gouyave,12.1646,-61.7296,75.2,94,90,9.22,GD,1619742986
Grand Gaube,-20.0064,57.6608,73.99,92,18,4.0,MU,1619742751
Gravdal,68.1214,13.5031,34.12,72,100,17.96,NO,1619742752
Grindavik,63.8424,-22.4338,41.0,75,90,1.14,IS,1619742987
Guangyuan,32.442,105.823,70.61,65,0,2.3,CN,1619742987
Guarambaré,-25.4833,-57.4667,62.6,72,0,4.61,PY,1619742753
Guariba,-21.36,-48.2283,69.8,52,0,5.75,BR,1619742988
Guerrero Negro,27.9769,-114.0611,67.68,59,0,17.65,MX,1619742858
Haines Junction,60.7522,-137.5108,48.2,46,100,5.75,CA,1619742812
Half Moon Bay,37.4636,-122.4286,71.01,82,40,12.66,US,1619742754
Halifax,44.6453,-63.5724,51.01,81,100,3.44,CA,1619742727
Hambantota,6.1241,81.1185,79.18,83,90,7.56,LK,1619742989
Hamilton,39.1834,-84.5333,61.0,72,90,17.27,US,1619742934
Hasaki,35.7333,140.8333,70.0,45,20,10.36,JP,1619742989
Havelock,34.8791,-76.9013,72.0,68,1,18.41,US,1619742990
Havøysund,70.9963,24.6622,26.6,80,75,19.57,NO,1619742756
Arrondissement du Havre,49.5833,0.3333,37.4,87,0,3.53,FR,1619742991
Havre-St-Pierre,50.2334,-63.5986,39.2,87,90,5.75,CA,1619742991
Hay River,60.8156,-115.7999,42.8,31,100,11.5,CA,1619742991
Hermanus,-34.4187,19.2345,48.99,93,50,4.9,ZA,1619742992
Hilo,19.7297,-155.09,82.4,61,20,11.5,US,1619742992
Hithadhoo,-0.6,73.0833,83.75,71,80,6.89,MV,1619742758
Hobart,-42.8794,147.3294,60.01,82,20,8.05,AU,1619742728
Hobyo,5.3505,48.5268,84.18,69,92,5.99,SO,1619742759
Hofn,64.2539,-15.2082,39.11,69,20,5.53,IS,1619742993
Horodyshche,49.2849,31.4451,45.97,86,77,7.43,UA,1619742725
Houma,29.5958,-90.7195,80.6,78,40,13.8,US,1619742894
Huanan,46.2167,130.5167,58.39,29,72,8.1,CN,1619742994
Huarmey,-10.0681,-78.1522,68.68,81,0,9.66,PE,1619742995
Huilong,31.8111,121.655,73.0,60,2,3.0,CN,1619742995
Igrim,63.1906,64.4162,32.7,80,100,8.46,RU,1619742996
Ikauna,27.55,81.9667,83.32,17,17,8.32,IN,1619742996
Ilhéus,-14.7889,-39.0494,78.8,89,40,3.44,BR,1619742720
Ilulissat,69.2167,-51.1,35.6,69,100,3.44,GL,1619742993
Indian Head,38.6001,-77.1622,79.0,57,90,4.61,US,1619742997
Indramayu,-6.3264,108.32,81.61,72,50,7.18,ID,1619742998
Inhambane,-23.865,35.3833,72.55,80,0,6.64,MZ,1619742764
Inongo,-1.95,18.2667,72.34,97,100,3.56,CD,1619742764
Ipixuna,-1.7625,-48.8043,75.2,94,75,4.61,BR,1619742999
Iqaluit,63.7506,-68.5145,32.0,100,90,5.75,CA,1619742916
Iquitos,-3.7481,-73.2472,75.2,94,75,3.44,PE,1619742999
Irbeyskoye,55.6428,95.4522,38.34,85,100,3.04,RU,1619743000
Isangel,-19.55,169.2667,78.8,83,75,8.05,VU,1619742856
Itaituba,-4.2761,-55.9836,73.56,97,100,0.85,BR,1619742968
Itarema,-2.9248,-39.9167,77.95,81,100,9.28,BR,1619742767
Itaueira,-7.6033,-43.0256,79.5,59,98,3.42,BR,1619743001
Itoman,26.1247,127.6694,69.8,73,20,4.61,JP,1619743001
Ixtapa,20.7,-105.2,80.6,74,1,13.8,MX,1619742722
Jalu,29.0331,21.5482,79.52,14,0,12.17,LY,1619743002
Jamestown,42.097,-79.2353,46.99,100,90,9.22,US,1619742658
Djibouti,11.5,42.5,84.2,74,75,10.45,DJ,1619743002
Jiexiu,37.0244,111.9125,67.03,34,5,21.32,CN,1619743003
Jishou,28.3167,109.7167,74.05,64,4,2.37,CN,1619742856
Kaeo,-35.1,173.7833,70.0,65,2,5.01,NZ,1619743004
Kahului,20.8947,-156.47,82.4,69,40,18.41,US,1619742806
Kaitangata,-46.2817,169.8464,57.0,53,85,21.99,NZ,1619743004
Kaliua,-5.0606,31.7936,65.12,91,100,3.76,TZ,1619743005
Kalmunai,7.4167,81.8167,80.82,78,64,0.72,LK,1619743005
Kapaa,22.0752,-159.319,78.8,61,20,13.8,US,1619743006
Karasburg,-28.0167,18.75,49.33,49,0,7.05,NA,1619742954
Karratha,-20.7377,116.8463,86.63,24,0,7.45,AU,1619743006
Kartaly,53.0522,60.6467,39.45,72,0,8.63,RU,1619743007
Kasongo-Lunda,-6.4667,16.8167,70.7,97,100,1.03,CD,1619743007
Katsuura,35.1333,140.3,68.0,72,20,5.75,JP,1619743008
Kavaratti,10.5669,72.642,83.79,75,84,8.3,IN,1619743008
Kavieng,-2.5744,150.7967,84.67,69,40,7.23,PG,1619743009
Kayes,14.0,-11.0,96.26,18,100,9.37,ML,1619743009
Kenai,60.5544,-151.2583,45.0,76,90,20.71,US,1619742777
Ketchikan,55.3422,-131.6461,48.2,93,90,18.41,US,1619743010
Key West,24.5557,-81.7826,80.6,74,1,11.5,US,1619742881
Khandyga,62.6667,135.6,36.14,99,100,3.06,RU,1619743010
Khasan,42.4308,130.6434,45.23,66,100,8.61,RU,1619743011
Khāsh,28.2211,61.2158,68.49,36,100,5.61,IR,1619743011
Khatanga,71.9667,102.5,32.2,93,100,6.96,RU,1619743012
Kholodnyy,62.7167,147.95,30.38,88,100,1.86,RU,1619743012
Khorixas,-20.3667,14.9667,64.31,45,5,3.15,NA,1619743013
Khuzdar,27.7384,66.6434,69.94,43,6,4.14,PK,1619742780
Kibre Mengist,5.8833,38.9833,58.8,97,100,2.71,ET,1619743013
Kīhei,20.785,-156.4656,82.4,69,40,18.41,US,1619743014
Kimberley,-28.7323,24.7623,55.4,94,100,10.36,ZA,1619743014
Kindu,-2.95,25.95,70.77,98,100,0.85,CD,1619743015
Kirakira,-10.4544,161.9205,84.36,69,77,9.46,SB,1619743015
Kirkenær,60.4564,12.0582,35.6,48,0,10.36,NO,1619743015
Kitimat,54.0524,-128.6534,50.0,96,100,3.8,CA,1619743016
Klaksvík,62.2266,-6.589,37.4,60,90,9.22,FO,1619742844
Klerksdorp,-26.8521,26.6667,57.22,86,100,8.23,ZA,1619742784
Kloulklubed,7.0419,134.2556,84.2,79,75,5.75,PW,1619743017
Saint Paul Harbor,57.79,-152.4072,41.0,81,90,6.91,US,1619742847
Kokopo,-4.352,152.2633,84.67,65,100,3.27,PG,1619742785
Kologriv,58.8275,44.3178,30.06,93,68,4.36,RU,1619743018
Yangi Marg`ilon,40.4272,71.7189,66.2,30,0,9.22,UZ,1619742725
Korčula,42.9622,17.1369,57.2,100,40,3.44,HR,1619743018
Korla,41.7597,86.1469,71.46,16,0,3.96,CN,1619742787
Kosonsoy,41.2561,71.5508,66.2,37,0,4.61,UZ,1619743019
Krasnaya Gora,52.9995,31.6023,48.2,81,90,13.42,RU,1619743019
Krasnyy Chikoy,50.3643,108.7512,37.18,46,7,5.37,RU,1619743020
Kruisfontein,-34.0033,24.7314,57.0,94,100,6.69,ZA,1619743020
Kuala Kedah,6.1,100.3,77.0,94,20,4.5,MY,1619743020
Kuliyapitiya,7.4688,80.0401,77.0,94,90,3.44,LK,1619742789
Kununurra,-15.7667,128.7333,84.2,39,0,6.91,AU,1619742955
Kurumkan,54.3,110.3,36.1,56,99,3.58,RU,1619742790
La Libertad,-2.2333,-80.9,75.2,83,0,9.22,EC,1619743021
La Paz,-16.5,-68.15,42.8,70,40,10.36,BO,1619742999
Labuhan,-6.8844,112.2051,80.76,78,31,5.93,ID,1619743022
Laguna,38.421,-121.4238,91.0,12,1,4.61,US,1619743022
Lakes Entrance,-37.8811,147.981,64.81,51,9,3.74,AU,1619743023
Le Pradet,43.1066,6.0172,55.99,100,90,2.55,FR,1619743023
Lebu,-37.6167,-73.65,55.09,94,100,7.65,CL,1619743024
Leningradskiy,69.3833,178.4167,26.58,82,99,16.73,RU,1619742842
Les Cayes,18.2,-73.75,76.3,76,13,2.64,HT,1619742758
Leshukonskoye,64.8989,45.7622,28.47,90,99,3.74,RU,1619742786
Linares,-35.85,-71.6,56.98,60,13,1.48,CL,1619743025
Lincoln,40.8,-96.667,73.4,18,1,14.97,US,1619742925
Lindi,-10.0,39.7167,72.19,98,99,4.56,TZ,1619743025
Linguère,15.3953,-15.1193,82.4,44,0,16.11,SN,1619743026
Lompoc,34.6391,-120.4579,66.0,77,8,16.11,US,1619743003
Longkou,37.6508,120.3286,52.74,52,99,4.79,CN,1619743027
Longyearbyen,78.2186,15.6401,19.4,68,40,11.5,SJ,1619742796
Lorengau,-2.0226,147.2712,85.48,66,66,3.71,PG,1619743027
Los Chiles,11.0333,-84.7167,78.76,69,3,5.55,CR,1619742797
Los Llanos de Aridane,28.6585,-17.9182,64.4,77,75,5.75,ES,1619743028
Lubbock,33.6001,-101.8338,69.8,32,75,20.71,US,1619743028
Lüderitz,-26.6481,15.1594,55.98,77,0,21.63,NA,1619742796
Luzhou,28.8724,105.4405,74.77,64,49,2.35,CN,1619743029
Mabaruma,8.2,-59.7833,72.14,98,100,5.82,GY,1619742799
Mahajanga,-15.7167,46.3167,77.0,83,20,4.61,MG,1619743029
Mahébourg,-20.4081,57.7,77.0,83,75,12.66,MU,1619742620
Mahibadhoo,3.7833,72.9667,83.05,70,4,5.12,MV,1619742800
Mahon,39.8885,4.2658,60.8,94,90,8.05,ES,1619743030
Makakilo City,21.3469,-158.0858,82.4,54,90,8.05,US,1619743031
Málaga,36.7202,-4.4203,63.0,59,0,12.66,ES,1619743014
Malakal,9.5334,31.6605,77.5,69,100,3.8,SS,1619743031
Malé,4.1748,73.5089,84.2,79,40,8.05,MV,1619743032
Manakara,-22.1333,48.0167,70.23,94,67,3.44,MG,1619743032
Mangan,27.5167,88.5333,74.79,43,53,4.36,IN,1619742802
Manicoré,-5.8092,-61.3003,75.2,100,0,1.14,BR,1619742803
Province of Mantua,45.1667,10.7833,57.99,95,62,1.99,IT,1619743033
Mar del Plata,-38.0023,-57.5575,64.4,72,0,13.8,AR,1619743033
Marabba,12.35,32.1833,85.8,48,100,8.59,SD,1619743034
Marawi,7.9986,124.2928,84.0,71,60,1.01,PH,1619742861
Marquette,46.5333,-87.6335,44.01,86,2,6.11,US,1619743035
Marrakesh,31.6315,-8.0083,62.6,59,75,4.61,MA,1619742805
Marsá Maţrūḩ,31.3525,27.2453,64.4,72,0,4.61,EG,1619742797
Marsabit,2.3284,37.9899,66.24,67,100,6.31,KE,1619742806
Marshall,34.3834,-86.3333,70.0,82,92,6.58,US,1619743036
Maryville,35.7565,-83.9705,73.4,68,90,14.97,US,1619743036
Marzuq,14.4,46.4667,72.52,65,98,2.98,YE,1619743036
Matara,5.9485,80.5353,77.14,90,91,5.41,LK,1619743037
Mataura,-46.1927,168.8643,55.0,75,70,15.99,NZ,1619743037
Maun,-19.9833,23.4167,68.77,60,94,6.62,BW,1619743038
Mayo,38.8876,-76.5119,80.6,50,40,15.99,US,1619743038
Mayor Pablo Lagerenza,-19.9309,-60.7718,63.81,49,0,5.3,PY,1619742809
Menongue,-14.6585,17.691,65.59,74,100,2.91,AO,1619743039
Metro,-5.1131,105.3067,80.38,82,93,5.86,ID,1619742862
Meulaboh,4.1363,96.1285,78.82,82,46,4.03,ID,1619742810
Mitsamiouli,-11.3847,43.2844,80.42,78,66,4.34,KM,1619743040
Moerai,-22.4333,-151.3333,78.48,74,74,14.2,PF,1619742811
Mogok,22.9167,96.5,75.06,57,6,2.26,MM,1619743040
Moniquirá,5.8764,-73.5728,60.84,98,82,0.94,CO,1619743041
Monrovia,6.3005,-10.7969,78.8,94,75,5.26,LR,1619743041
Monte Santo,-10.4378,-39.3328,69.44,91,44,7.18,BR,1619742812
Morant Bay,17.8815,-76.4093,82.4,69,20,18.41,JM,1619743042
Morón,-34.6534,-58.6198,64.99,79,0,5.03,AR,1619742955
Morondava,-20.2833,44.2833,77.22,78,7,3.58,MG,1619743042
Mount Gambier,-37.8333,140.7667,60.8,77,0,9.22,AU,1619743043
Moussoro,13.6408,16.4901,82.06,8,10,10.65,TD,1619743043
Msanga,-6.05,36.0333,66.43,95,99,3.47,TZ,1619743044
Muros,42.7762,-9.0603,46.0,89,5,9.91,ES,1619742816
Mwene-Ditu,-7.0,23.45,66.88,93,100,1.88,CD,1619742816
Mwinilunga,-11.7358,24.4293,61.83,93,89,2.77,ZM,1619742817
Nadym,65.5333,72.5167,31.6,88,100,10.29,RU,1619742817
Najrān,17.4924,44.1277,73.4,56,75,3.98,SA,1619742818
Namatanai,-3.6667,152.4333,85.44,66,100,1.48,PG,1619742818
Mossamedes,-15.1961,12.1522,74.44,73,89,4.36,AO,1619742819
Nanortalik,60.1432,-45.2371,37.04,85,5,9.4,GL,1619742819
Narsaq,60.9167,-46.05,35.6,80,20,3.44,GL,1619742820
Narva-Jõesuu,59.4589,28.0408,33.13,67,99,6.58,EE,1619742820
Naze,28.3667,129.4833,71.6,73,0,11.5,JP,1619742820
Necochea,-38.5473,-58.7368,62.01,80,8,8.99,AR,1619742821
Nemuro,43.3236,145.575,39.2,100,75,14.97,JP,1619742745
Nettuno,41.4826,12.679,55.99,99,100,3.0,IT,1619742821
Nevel'sk,46.6733,141.8633,37.4,81,40,22.37,RU,1619742727
New Norfolk,-42.7826,147.0587,64.0,73,8,5.99,AU,1619742822
New Richmond,45.123,-92.5366,64.4,31,40,12.66,US,1619742822
Newport,51.5877,-2.9984,41.0,87,75,5.75,GB,1619742823
Nha Trang,12.25,109.1833,82.4,69,20,5.75,VN,1619742709
Nhulunbuy,-12.2333,136.7667,82.4,69,40,11.5,AU,1619742824
Nikol'sk,53.7189,46.0712,36.52,92,24,5.97,RU,1619742824
Nikolskoye,59.7035,30.7861,33.8,69,0,2.24,RU,1619742825
Ningxiang,37.34,111.2052,58.78,39,57,25.28,CN,1619742825
Nishihara,26.1842,127.7558,69.8,73,20,4.61,JP,1619742614
Nivala,63.9167,24.9667,32.0,74,100,3.0,FI,1619742826
Nome,64.5011,-165.4064,28.99,69,40,18.41,US,1619742700
Norman Wells,65.282,-126.8329,46.4,31,20,5.75,CA,1619742827
North Bend,43.4065,-124.2243,60.01,72,1,8.05,US,1619742828
Novovarshavka,54.1721,74.6946,44.13,62,0,6.71,RU,1619742828
Nuuk,64.1835,-51.7216,28.4,100,90,8.05,GL,1619742829
Nyimba,-14.5566,30.8149,67.55,85,3,3.06,ZM,1619742829
